Gene stable ID	GO term accession	GO term name	GO term definition	GO term evidence code	GO domain	Gene name
ENSMUSG00000030079	GO:1990904	ribonucleoprotein complex	A macromolecular complex containing both protein and RNA molecules.	IDA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0071339	MLL1 complex	A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5.	ISS	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0040008	regulation of growth	Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organisms development.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043967	histone H4 acetylation	The modification of histone H4 by the addition of an acetyl group.	ISO	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043138	3-5 DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate; drives the unwinding of the DNA helix in the direction 3 to 5.	ISO	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0016573	histone acetylation	The modification of a histone by the addition of an acetyl group.	IBA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0035267	NuA4 histone acetyltransferase complex	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).	IBA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0003678	DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction drives the unwinding of the DNA helix.	IBA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0003678	DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction drives the unwinding of the DNA helix.	ISO	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0051117	ATPase binding	Interacting selectively and non-covalently with an ATPase, any enzyme that catalyzes the hydrolysis of ATP.	IPI	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0010756	positive regulation of plasminogen activation	Any process that increases the rate, frequency or extent of plasminogen activation. Plasminogen activation is the process in which plasminogen is processed to plasmin.	ISO	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043531	ADP binding	Interacting selectively and non-covalently with ADP, adenosine 5-diphosphate.	IDA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:2000269	regulation of fibroblast apoptotic process	Any process that modulates the frequency, rate or extent of fibroblast apoptotic process.	ISO	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0017025	TBP-class protein binding	Interacting selectively and non-covalently with a member of the class of TATA-binding proteins (TBP), including any of the TBP-related factors (TRFs).	ISO	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0043968	histone H2A acetylation	The modification of histone H2A by the addition of an acetyl group.	ISO	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0001094	TFIID-class transcription factor complex binding	Interacting selectively and non-covalently with a general RNA polymerase II transcription factor belonging to the TFIID complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II.	IPI	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0003713	transcription coactivator activity	A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to activate the transcription of specific genes. Coactivators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. Another type of coregulator activity is the bridging of a DNA-binding transcription factor to the basal transcription machinery. The Mediator complex, which bridges transcription factors and RNA polymerase, is also a transcription coactivator.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0016887	ATPase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0017025	TBP-class protein binding	Interacting selectively and non-covalently with a member of the class of TATA-binding proteins (TBP), including any of the TBP-related factors (TRFs).	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0000492	box C/D snoRNP assembly	The aggregation, arrangement and bonding together of proteins and a box C/D snoRNA to form a box C/D small nucleolar ribonucleoprotein (snoRNP) complex.	IBA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043967	histone H4 acetylation	The modification of histone H4 by the addition of an acetyl group.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043968	histone H2A acetylation	The modification of histone H2A by the addition of an acetyl group.	ISS	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0043968	histone H2A acetylation	The modification of histone H2A by the addition of an acetyl group.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0090263	positive regulation of canonical Wnt signaling pathway	Any process that increases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0000812	Swr1 complex	A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits.	ISS	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0000812	Swr1 complex	A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits.	ISO	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0000812	Swr1 complex	A multisubunit protein complex that is involved in chromatin remodeling. It is required for the incorporation of the histone variant H2AZ into chromatin. In S. cerevisiae, the complex contains Swr1p, a Swi2/Snf2-related ATPase, and 12 additional subunits.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0035267	NuA4 histone acetyltransferase complex	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).	ISS	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0035267	NuA4 histone acetyltransferase complex	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).	ISO	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0071339	MLL1 complex	A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0097255	R2TP complex	A highly conserved protein complex comprised of two ATP-dependent DNA helicases (Rvb1p and Rvb2p in yeast, Pontin52 and Reptin52 in humans), Pih1p in yeast or PIH1D1 in humans, and Tah1 in yeast or RPAP3 in humans. The complex associates with Hsp90 and is thought to have a role in assembly of large protein or protein/nucleic acid complexes. In this role it is involved in multiple processes such as box C/D snoRNP biogenesis, phosphatidylinositol-3 kinase-related protein kinase (PIKK) signaling, RNA polymerase II assembly, and others.	ISO	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0097255	R2TP complex	A highly conserved protein complex comprised of two ATP-dependent DNA helicases (Rvb1p and Rvb2p in yeast, Pontin52 and Reptin52 in humans), Pih1p in yeast or PIH1D1 in humans, and Tah1 in yeast or RPAP3 in humans. The complex associates with Hsp90 and is thought to have a role in assembly of large protein or protein/nucleic acid complexes. In this role it is involved in multiple processes such as box C/D snoRNP biogenesis, phosphatidylinositol-3 kinase-related protein kinase (PIKK) signaling, RNA polymerase II assembly, and others.	IBA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0043139	5-3 DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate; drives the unwinding of the DNA helix in the direction 5 to 3.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0035267	NuA4 histone acetyltransferase complex	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0031011	Ino80 complex	A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity and 3 to 5 DNA helicase activity.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5-triphosphate, a universally important coenzyme and enzyme regulator.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0016787	hydrolase activity	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IEA	cellular_component	Ruvbl1
ENSMUSG00000030079	GO:0000166	nucleotide binding	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0006281	DNA repair	The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0006974	cellular response to DNA damage stimulus	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0032508	DNA duplex unwinding	The process in which interchain hydrogen bonds between two strands of DNA are broken or melted, generating a region of unpaired single strands.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0004386	helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0003678	DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction drives the unwinding of the DNA helix.	IEA	molecular_function	Ruvbl1
ENSMUSG00000030079	GO:0006310	DNA recombination	Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction.	IEA	biological_process	Ruvbl1
ENSMUSG00000030079	GO:0097255	R2TP complex	A highly conserved protein complex comprised of two ATP-dependent DNA helicases (Rvb1p and Rvb2p in yeast, Pontin52 and Reptin52 in humans), Pih1p in yeast or PIH1D1 in humans, and Tah1 in yeast or RPAP3 in humans. The complex associates with Hsp90 and is thought to have a role in assembly of large protein or protein/nucleic acid complexes. In this role it is involved in multiple processes such as box C/D snoRNP biogenesis, phosphatidylinositol-3 kinase-related protein kinase (PIKK) signaling, RNA polymerase II assembly, and others.	IEA	cellular_component	Ruvbl1
ENSMUSG00000035277						Arx
ENSMUSG00000035277	GO:0006355	regulation of transcription, DNA-templated	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IEA	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IC	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	ISO	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IBA	cellular_component	Arx
ENSMUSG00000035277	GO:0007275	multicellular organism development	The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0003682	chromatin binding	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.	IBA	molecular_function	Arx
ENSMUSG00000035277	GO:0010628	positive regulation of gene expression	Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a genes coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0030154	cell differentiation	The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organisms life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IBA	molecular_function	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:0007399	nervous system development	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.	IBA	biological_process	Arx
ENSMUSG00000035277	GO:0007399	nervous system development	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	ISO	molecular_function	Arx
ENSMUSG00000035277	GO:0001764	neuron migration	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0021772	olfactory bulb development	The progression of the olfactory bulb over time from its initial formation until its mature state. The olfactory bulb coordinates neuronal signaling involved in the perception of smell. It receives input from the sensory neurons and outputs to the olfactory cortex.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0030900	forebrain development	The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions).	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0042127	regulation of cell population proliferation	Any process that modulates the frequency, rate or extent of cell proliferation.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0000122	negative regulation of transcription by RNA polymerase II	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.	IDA	biological_process	Arx
ENSMUSG00000035277	GO:0007411	axon guidance	The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0021759	globus pallidus development	The progression of the globus pallidus over time from its initial formation until its mature state. The globus pallidus is one of the basal ganglia involved with control of voluntary movement in the brain.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0021800	cerebral cortex tangential migration	The migration of cells in the cerebral cortex in which cells move orthogonally to the direction of radial migration and do not use radial glial cell processes as substrates for migration.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0021831	embryonic olfactory bulb interneuron precursor migration	The directed movement of individual interneuron precursors during the embryonic development of the olfactory bulb.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0021846	cell proliferation in forebrain	The creation of greater cell numbers in the forebrain due to cell division of progenitor cells.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0021853	cerebral cortex GABAergic interneuron migration	The migration of GABAergic interneuron precursors from the subpallium to the cerebral cortex.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0044241	lipid digestion	The whole of the physical, chemical, and biochemical processes carried out by living organisms to break down ingested lipids into components that may be easily absorbed and directed into metabolism.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0046622	positive regulation of organ growth	Any process that activates or increases the frequency, rate or extent of growth of an organ of an organism.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0072148	epithelial cell fate commitment	The process in which the developmental fate of a cell becomes restricted such that it will develop into an epithelial cell.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0048483	autonomic nervous system development	The process whose specific outcome is the progression of the autonomic nervous system over time, from its formation to the mature structure. The autonomic nervous system is composed of neurons that are not under conscious control, and is comprised of two antagonistic components, the sympathetic and parasympathetic nervous systems. The autonomic nervous system regulates key functions including the activity of the cardiac (heart) muscle, smooth muscles (e.g. of the gut), and glands.	IBA	biological_process	Arx
ENSMUSG00000035277	GO:0048484	enteric nervous system development	The process whose specific outcome is the progression of the enteric nervous system over time, from its formation to the mature structure. The enteric nervous system is composed of two ganglionated neural plexuses in the gut wall which form one of the three major divisions of the autonomic nervous system. The enteric nervous system innervates the gastrointestinal tract, the pancreas, and the gall bladder. It contains sensory neurons, interneurons, and motor neurons. Thus the circuitry can autonomously sense the tension and the chemical environment in the gut and regulate blood vessel tone, motility, secretions, and fluid transport. The system is itself governed by the central nervous system and receives both parasympathetic and sympathetic innervation.	IBA	biological_process	Arx
ENSMUSG00000035277	GO:1990837	sequence-specific double-stranded DNA binding	Interacting selectively and non-covalently with double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding.	ISO	molecular_function	Arx
ENSMUSG00000035277	GO:0043565	sequence-specific DNA binding	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:1990837	sequence-specific double-stranded DNA binding	Interacting selectively and non-covalently with double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding.	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:0006355	regulation of transcription, DNA-templated	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IEA	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IC	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	ISO	cellular_component	Arx
ENSMUSG00000035277	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cells chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	IBA	cellular_component	Arx
ENSMUSG00000035277	GO:0007275	multicellular organism development	The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0003682	chromatin binding	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.	IBA	molecular_function	Arx
ENSMUSG00000035277	GO:0010628	positive regulation of gene expression	Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a genes coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0030154	cell differentiation	The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organisms life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IBA	molecular_function	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IEA	molecular_function	Arx
ENSMUSG00000035277	GO:0007399	nervous system development	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.	IBA	biological_process	Arx
ENSMUSG00000035277	GO:0007399	nervous system development	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.	IEA	biological_process	Arx
ENSMUSG00000035277	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	ISO	molecular_function	Arx
ENSMUSG00000035277	GO:0001764	neuron migration	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.	IDA	molecular_function	Arx
ENSMUSG00000035277	GO:0021772	olfactory bulb development	The progression of the olfactory bulb over time from its initial formation until its mature state. The olfactory bulb coordinates neuronal signaling involved in the perception of smell. It receives input from the sensory neurons and outputs to the olfactory cortex.	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0030900	forebrain development	The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions).	IMP	biological_process	Arx
ENSMUSG00000035277	GO:0042127	regulation of cell population proliferation	Any process that modulates the frequency, rate or extent of cell proliferation.	IMP	biological_process	Arx
